Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,Population_Bins,Average_Pollutant,AQI_Level
29.8,59.1,0.017627118644067796,0.05727848101265822,0.19999999999999996,0.3013698630136986,0.3485342019543973,6.3,319,Moderate,Low,0.18496193292496438,Good
28.3,75.6,0.007796610169491525,0.03924050632911392,0.4069565217391304,0.3111545988258317,0.3224755700325732,6.0,611,Moderate,High,0.21752476141922816,Moderate
23.1,74.7,0.09050847457627119,0.10759493670886076,0.29565217391304344,0.3679060665362035,0.3192182410423452,5.2,619,Moderate,High,0.23617597855534483,Moderate
27.1,39.1,0.020677966101694915,0.020569620253164556,0.1060869565217391,0.22504892367906065,0.1628664495114006,11.1,551,Good,Medium,0.10704998321341197,Good
26.5,70.7,0.02338983050847458,0.05126582278481012,0.2521739130434782,0.23091976516634052,0.11726384364820845,12.7,303,Good,Low,0.13500263503026239,Good
39.4,96.6,0.04949152542372881,0.1129746835443038,0.617391304347826,0.471624266144814,0.38110749185667747,3.1,674,Hazardous,High,0.32651785426347,Moderate
41.7,82.5,0.00576271186440678,0.05063291139240506,0.4121739130434783,0.3698630136986301,0.37459283387622144,4.6,735,Poor,High,0.24260507677502835,Moderate
31.0,59.6,0.01694915254237288,0.05379746835443038,0.2921739130434782,0.38747553816046965,0.2377850162866449,6.3,443,Moderate,Medium,0.19763621767747921,Good
29.4,93.8,0.03491525423728814,0.07246835443037974,0.6556521739130434,0.3522504892367906,0.4495114006514657,5.4,486,Poor,Medium,0.31295953449379355,Moderate
33.2,80.5,0.03762711864406779,0.07784810126582278,0.4278260869565217,0.4207436399217221,0.33876221498371334,4.9,535,Poor,Medium,0.26056143235436957,Moderate
26.3,65.7,0.004406779661016949,0.018037974683544303,0.18956521739130433,0.23679060665362037,0.06514657980456023,13.0,529,Good,Medium,0.10278943163880924,Good
32.5,51.2,0.005423728813559322,0.033860759493670886,0.24695652173913044,0.49902152641878667,0.2866449511400651,5.9,519,Moderate,Medium,0.21438149752104246,Moderate
20.0,53.3,0.012542372881355932,0.041455696202531644,0.32521739130434785,0.25048923679060664,0.14332247557003258,10.2,538,Good,Medium,0.15460543454977493,Good
28.6,53.7,0.09796610169491525,0.10822784810126583,0.27478260869565213,0.20939334637964774,0.12052117263843647,11.0,508,Good,Medium,0.16217821550198347,Good
22.3,80.5,0.015254237288135594,0.03860759493670886,0.1704347826086956,0.2446183953033268,0.17263843648208466,10.4,232,Good,Low,0.1283106893237903,Good
32.0,78.9,0.0759322033898305,0.09525316455696202,0.3495652173913043,0.3522504892367906,0.27035830618892503,7.9,444,Moderate,Medium,0.2286718761527625,Moderate
22.9,75.4,0.015254237288135594,0.03354430379746835,0.1913043478260869,0.19373776908023482,0.10097719869706838,14.4,359,Good,Low,0.10696357133779881,Good
37.6,81.2,0.0952542372881356,0.179746835443038,0.6834782608695652,0.38943248532289626,0.39087947882736157,4.1,560,Poor,Medium,0.3477582595501993,Moderate
34.7,59.3,0.030508474576271188,0.05031645569620253,0.3669565217391304,0.2602739726027397,0.2833876221498371,6.1,437,Moderate,Medium,0.19828860935283615,Good
